status, sub_step, primary_step
PASS,aggregate applications,benchmark seamless technologies
PASS,reinvent e-services,benchmark seamless technologies
FAIL,recontextualize portals,benchmark seamless technologies
PASS,matrix convergence,revolutionize ubiquitous supply-chains
FAIL,revolutionize partnerships,engage B2B e-business
FAIL,engineer relationships,engage B2B e-business
PASS,leverage technologies,engage B2B e-business
PASS,disintermediate e-business,engage B2B e-business
PASS,utilize convergence,mesh sticky schemas
PASS,orchestrate partnerships,mesh sticky schemas
PASS,monetize relationships,mesh sticky schemas
FAIL,incentivize supply-chains,mesh sticky schemas
PASS,facilitate synergies,visualize dynamic functionalities
FAIL,strategize eyeballs,visualize dynamic functionalities
PASS,visualize web services,visualize dynamic functionalities
PASS,strategize convergence,visualize dynamic functionalities
PASS,syndicate initiatives,unleash viral web-readiness
PASS,scale e-markets,unleash viral web-readiness
FAIL,empower partnerships,unleash viral web-readiness
PASS,brand partnerships,unleash viral web-readiness
FAIL,orchestrate e-markets,reinvent next-generation initiatives
PASS,generate relationships,reinvent next-generation initiatives
FAIL,implement solutions,reinvent next-generation initiatives
PASS,reinvent ROI,reinvent next-generation initiatives
FAIL,synergize models,syndicate web-enabled networks
FAIL,deliver synergies,syndicate web-enabled networks
FAIL,e-enable initiatives,syndicate web-enabled networks
